,Name,Infected score,Noninfected score,Out score
216,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_12.tiff,0.99415356,0.002854617,0.0029918628
217,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_13.tiff,0.9983707,0.0007925286,0.0008367761
218,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_14.tiff,0.99671495,0.0010460131,0.0022390077
219,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_15.tiff,0.999181,0.00040196086,0.0004170522
220,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_16.tiff,0.993483,0.0035637198,0.0029532006
221,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_17.tiff,0.9930494,0.005262404,0.0016881813
222,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_18.tiff,0.99918526,0.0003275146,0.0004871572
223,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_19.tiff,0.9986047,0.0009537493,0.00044151206
224,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_20.tiff,0.9997912,6.4056345e-05,0.00014486417
225,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_21.tiff,0.99498737,0.0024114153,0.002601273
226,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_22.tiff,0.92369324,0.070499286,0.005807454
227,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_23.tiff,0.99834967,0.0004991833,0.0011512261
228,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_24.tiff,0.9988632,0.00026887588,0.00086798257
229,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_25.tiff,0.99616313,0.001835156,0.002001659
230,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_26.tiff,0.99753547,0.00073271187,0.0017317927
231,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_27.tiff,0.9953171,0.0022354922,0.0024473753
232,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_28.tiff,0.9647523,0.0275416,0.007706022
233,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_29.tiff,0.9872913,0.011035152,0.0016735655
234,data\Images\NLFK CPV inf 24 hpi DAPI 488 NS1 647 Ki67_30.tiff,0.9962774,0.0024535372,0.0012690494
